,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tempo_bpm,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,is_ai
A Fire Hydrant Has Drowned,-100.55648,62.39878,-1.6314701,26.220146,13.048642,1.8731837,-0.91802204,0.42769828,-0.76979524,1.0413282,-4.392399,1.3360887,-10.360612,-2.6963112,-6.040845,-1.5594805,-10.009539,-1.8687586,-1.6712142,-2.1203418,135,0.3020584,0.25066018,0.42507452,0.24973229,0.24744678,0.36089525,0.36182034,0.66460294,0.36751524,0.3054492,0.34383872,0.25631946,1
A House Without a Roof,-172.05046,95.18831,7.6786695,22.54588,-4.710613,6.9838324,-8.744095,-3.6299558,-3.993253,-3.7304204,-3.626955,-0.5741641,-8.041103,-5.3898926,-1.0986239,-1.0166572,-5.9670672,-1.6236068,-7.4772654,-5.997727,135,0.19693679,0.18471684,0.35058367,0.3659518,0.23282886,0.25925213,0.25211054,0.48333576,0.28952855,0.38694584,0.5220244,0.22645068,1
Airplane Thoughts,-104.26704,80.94964,8.38738,11.921694,5.336638,2.3278918,-2.384984,5.7846236,-0.30268836,5.3220515,-1.3719231,1.4542994,-3.1905303,-0.20846401,-1.5925636,-2.0768619,-4.4654546,-1.606344,-6.840408,-2.1729686,86,0.33138326,0.24129353,0.47582385,0.3163185,0.24486671,0.34655738,0.1962363,0.27377617,0.19478257,0.28635865,0.4872104,0.28714678,1
Alien Love Song,-198.99666,127.04956,17.408943,36.77547,5.2676024,7.7183743,1.7539493,0.013613438,-3.3322172,-2.0607595,0.25393522,7.5261,-3.862468,3.1369314,-1.3514773,-1.8059467,-1.7119849,-2.5748742,-5.047814,0.10505672,89,0.42765316,0.2510743,0.32484886,0.22926515,0.40578386,0.21919747,0.1800497,0.40463734,0.18758811,0.17228018,0.12697855,0.32376012,1
Alien Mind,-227.213,72.463264,21.803656,35.69622,22.42412,-0.3415227,14.678235,-9.7859535,8.7659,-5.8484316,-11.1475,-6.1518836,-18.457241,7.097235,-1.6992394,10.310381,4.353857,3.2238173,-3.1706736,-3.1217775,161,0.08152455,0.14215572,0.2328718,0.116955206,0.12455198,0.14960796,0.15569012,0.33878145,0.3007134,0.40357843,0.19617829,0.06923318,1
All You Can Eat,-240.28413,129.66101,2.5282393,5.304364,16.418825,-0.10479793,7.448688,-0.8515472,-2.944062,-0.79166675,-5.220323,-1.5000799,-4.959351,3.7367287,-5.1232095,2.6447074,1.0527407,-9.026625,-5.5622854,-4.149797,198,0.4713918,0.23133144,0.24896693,0.32888535,0.13872138,0.19604345,0.18057173,0.45491803,0.20481724,0.14468025,0.23602732,0.19910367,1
All You Need Is a Better Song,-168.64856,107.57108,13.430568,19.681698,-2.983643,-1.7230996,-5.345958,-1.2411724,-0.6888568,6.1281843,-1.0815923,0.13903317,-4.4144797,-0.8315218,-3.3584177,-4.596072,-6.38455,-1.8782256,-3.0236268,3.1813204,103,0.583974,0.3332017,0.3710613,0.26540354,0.41495252,0.5177354,0.24301063,0.2733508,0.21941158,0.3764863,0.42602926,0.353497,1
Apathy In The Pantry,-261.52646,110.3379,26.51581,40.3545,10.411346,4.0908356,2.6405694,-7.18684,-1.0214679,-4.6134725,-3.9595633,-5.721697,-7.884129,3.7575612,1.196028,5.0519547,2.0599797,-0.57321304,-2.5606885,-4.820024,172,0.13659847,0.20098168,0.17990224,0.30288982,0.15134501,0.16392086,0.3130307,0.30032024,0.54285544,0.2435748,0.27466074,0.2876891,1
Apple Pie,-197.01678,123.89735,-7.789688,24.592573,2.3618932,-1.31107,3.786131,-5.944188,-8.557364,3.6739793,-7.163433,3.0106971,-9.622801,-1.6525275,-4.293622,2.4789922,0.944242,2.7808583,-2.1402488,0.9948687,92,0.1646716,0.2234632,0.45944777,0.24069233,0.34918845,0.35343343,0.16333282,0.28037074,0.204357,0.44220284,0.27730554,0.12383067,1
Astrology,-252.33891,81.344635,25.490566,14.465294,6.856131,0.17182435,6.1066074,0.513979,-7.1185246,-7.360574,-7.107786,-3.7984679,-14.628901,-7.537983,-11.300874,-6.9194837,-7.6254663,-1.0644292,-1.6477093,-7.347846,117,0.20687692,0.15640593,0.27012226,0.1922942,0.23611902,0.3919191,0.23707613,0.28784367,0.14899686,0.21869607,0.2747341,0.13208058,1
