Title;Artist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8:00 AM;Nicki Nicole, Young Miko;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:35;Tiësto, Tate McRae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:00 PM;Maluma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; 3 (feat. Jason Derulo & De La Ghetto);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;10,000 Hours (with Justin Bieber);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Polo G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;JayO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Chayce Beckham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Mike WiLL Made-It;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Sidhu Moose Wala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Charli xcx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
505;Arctic Monkeys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;Mora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;Sech;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;Fuerza Regida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;Anne-Marie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;Sleepy Hallow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45862;24/7, 365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#BrooklynBloodPop!;SyKo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(It Goes Like) Nanana;Peggy Gou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
...And to Those I Love;STOP STARING AT THE SHADOWS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
...Baby One More Time (from Kung Fu Panda 4);Tenacious D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 Sentimientos (Remix) [feat. Baby Rasta; Darkiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0800 HEAVEN;Nathan Dawe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 Carros;Chefin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 Freaky Girls (with 21 Savage);Metro Boomin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10 Things I Hate About You;Leah Kate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 MESSAGGI;Lazza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000 Blunts;$uicideboy$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123 Song;D Billions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-800-273-8255;Logic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Balas;Roylimar y Royerlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Be Loved (Am I Ready);Lizzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Hielos;King Savagge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Phones;Kevin Gates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/Catorce;Rauw Alejandro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 Min;Lil Uzi Vert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002 - Remix;Shaun Reynolds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 Reasons (feat. Ella Henderson);Nathan Dawe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223's (feat. 9lokknine);YNW Melly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 Preguntas;Anuel AA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 (feat. Lil Baby);Money Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24K Magic;Bruno Mars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
