song_name;song_prompt
they-built-the-ship-titanic-id-4f8c5.mp3; Simple video game song about sunday cleaning
lizard-lounge-id-863a8.mp3; Melancholy up tempo song about fresh paint
drinks-in-the-kitchen-id-33978.mp3; Smooth dj song about street cats
lemonade-id-8baf6.mp3; Danceable slow rap song about your childhood playground
cardboard-cutout-id-8bd10.mp3; Synth-driven reverb song about making playlists
dog-bowl-id-6250e.mp3; Inspiring chant song about birthday cake
the-dirty-farmer-id-947c0.mp3; Minor sertanejo song about catching the last bus home
the-sun-will-explode-one-day-id-9edbe.mp3; Theatrical slow rock song about the last song playing
overnight-barista-id-1469e.mp3; Ominous ritmico song about missing the bus
apple-pie-id-189c5.mp3; Heroic fantasy song about a secret hideout
honey-bunny-id-baf1b.mp3; Majestic slow rap song about resilience
i'm-a-giraffe-id-03679.mp3; Lo-fi male song about being down bad
hot-air-balloon-id-c776f.mp3; Textured hope song about gaming all night
fire-in-my-friend's-house-id-87cae.mp3; Eclectic viking metal song about consciousness
i-forgot-my-wallet-id-f04f8.mp3; Syncopated speedcore song about shower thoughts
boy-scouts-for-dogs-id-4d521.mp3; Somber hardcore rap song about your teenage bedroom
the-problem-with-the-gnomes-id-922d0.mp3; Raw orchestra song about sneaking into pools
heartbreak-makes-me-good-at-chess-id-adac3.mp3; Heavy alternative song about work-from-home life
the-climb-id-df0ad.mp3;Sensual country rap song about meditation
my-dad-is-rich-id-140b6.mp3;Studio quality trumpet song about squad hangouts
never-meet-your-heroes-id-03a8d.mp3;Studio quality non song about digital rebellion
cows-on-the-moon-id-687c6.mp3;Empowering psychedelic trance song about memories
axe-murderer-id-72f29.mp3;Powerful auto tune song about birthday cake
teeth-id-cc04c.mp3;"Happy alternative pop song about riding with the top down"""
gator-tail-id-0f6cf.mp3;
naked-and-screaming-id-27172.mp3;
"Eclectic piano cover song about waiting for replies""";
meteor-shower-id-14269.mp3;
candy-floss-id-18296.mp3;
violet-heart-id-2e11f.mp3;
the-ballad-of-benry-j.-rubson-id-3064b.mp3;
do-the-dogs-of-cyberland-still-dream?-id-d2af9.mp3;
fromage-id-ebaf5.mp3;
love-letters-id-97dd9.mp3;
my-evil-twin-id-47fa6.mp3;
yippee-ki-yay-id-84f81.mp3;
"Intimate melodic death metal song about street games""";
i-wish-i-was-a-king-id-26f40.mp3;
solar-flare-id-c0aab.mp3;
happiness-id-a6371.mp3;
my-old-mustang-id-a043d.mp3;
shoveling-snow-id-684d9.mp3;
brown-cow-brown-cow-id-55b4a.mp3;
wasabi-id-9fe32.mp3;
jersey's-not-the-worst-id-50597.mp3;
blue-pants-id-93367.mp3;
midnight-at-the-laundromat-id-4ccf5.mp3;
"Magical flamenco guitar song about bathroom friends""";
touch-the-bottom-id-d26d0.mp3;
alien-love-song-id-8d6b6.mp3;
clowns-with-guns-id-547fc.mp3;
grilled-cheese-id-821d0.mp3;
radio-id-55328.mp3;
my-favorite-shirt-id-ec4d8.mp3;
blowfish-id-df791.mp3;
the-perfect-plum-id-78570.mp3;
the-wild-west-id-b0155.mp3;
the-wild-west-id-b57b6.mp3;
take-my-order-id-b15f3.mp3;
i-wrote-you-a-song-id-775a0.mp3;
turtle-power-id-6908c.mp3;
